absorbuoti, absorbuoja, absorbavo
abstrahuoti, abstrahuoja, abstrahavo
abuojėti, abuojėja, abuojėjo
adaptuoti, adaptuoja, adaptavo
adinėti, adinėja, adinėjo
administruoti, administruoja, administravo
adresuoti, adresuoja, adresavo
adyti, ado, adė
aidėti, aidi, aidėjo
aikčioti, aikčioja, aikčiojo
akcentuoti, akcentuoja, akcentavo
akėti, akėja, akėjo
akinti, akina, akino
akti, anka, ako
aktyvėti, aktyvėja, aktyvėjo
aktyvinti, aktyvina, aktyvino
aktyvuoti, aktyvuoja, aktyvavo
alkti, alksta, alko
alpti, alpsta, alpo
alsinti, alsina, alsino
amputuoti, amputuoja, amputavo
amsėti, amsi, amsėjo
amžinti, amžina, amžino
analizuoti, analizuoja, analizavo
aneksuoti, aneksuoja, aneksavo
antspauduoti, antspauduoja, antspaudavo
ardyti, ardo, ardė
areštuoti, areštuoja, areštavo
artėti, artėja, artėjo
arti, aria, arė
artinti, artina, artino
asimiliuoti, asimiliuoja, asimiliavo
asmenuoti, asmenuoja, asmenavo
asocijuoti, asocijuoja, asocijavo
audėti, auda, audėjo
auginti, augina, augino
augti, auga, augo
auklėti, auklėja, auklėjo
aukoti, aukoja, aukojo
aukštinti, aukština, aukštino
auksuoti, auksuoja, auksavo
austi, audžia, audė
aušti, audžia, audė
auti, auna, avė
automatizuoti, automatizuoja, automatizavo
avėti, avi, avėjo
badauti, badauja, badavo
badyti, bado, badė
baidyti, baido, baidė
baigti, baigia, baigė
baiminti, baimina, baimino
baisėti, baisėja, baisėjo
bakstelėti, baksteli, bakstelėjo
balansuoti, balansuoja, balansavo
balinti, balina, balino
balnoti, balnoja, balnojo
balsti, balsta, balo
balsuoti, balsuoja, balsavo
baltėti, baltėja, baltėjo
balti, bąla, balo
baltinti, baltina, baltino
baltuoti, baltuoja, baltavo
bandyti, bando, bandė
banguoti, banguoja, bangavo
bankrutuoti, bankrutuoja, bankrutavo
barškinti, barškina, barškino
barstyti, barsto, barstė
barti, bara, barė
bauginti, baugina, baugino
bausti, baudžia, baudė
bėginėti, bėginėja, bėginėjo
